Date,Place,Fatalities,Latitude,Longitude,Side
08/07/2014,Beit Hanoun,6,31.538481,34.53677,palestinian
08/07/2014,Gaza,6,31.5225605,34.453593,palestinian
08/07/2014,Jabalia,1,31.5293955,34.479741,palestinian
08/07/2014,Khan Yunis,9,31.3499693,34.299682,palestinian
08/07/2014,Nusseirat,1,31.4499593,34.392909,palestinian
08/07/2014,Rafah,1,31.2943959,34.2457565,palestinian
09/07/2014,Al Maghazi,4,31.4218051,34.385416,palestinian
09/07/2014,Al Mughraqa,1,31.4672522,34.4097598,palestinian
09/07/2014,Beit Hanoun,6,31.538481,34.53677,palestinian
09/07/2014,Gaza,2,31.5225605,34.453593,palestinian
09/07/2014,Khan Yunis,2,31.3499693,34.299682,palestinian
09/07/2014,Nusseirat,1,31.4499593,34.392909,palestinian
09/07/2014,Rafah,5,31.2943959,34.2457565,palestinian
09/07/2014,#N/A,10,#N/A,#N/A,palestinian
10/07/2014,Beit Hanoun,1,31.538481,34.53677,palestinian
10/07/2014,Gaza,4,31.5225605,34.453593,palestinian
10/07/2014,Khan Yunis,20,31.3499693,34.299682,palestinian
11/07/2014,Beit Hanoun,2,31.538481,34.53677,palestinian
11/07/2014,Beit Lahiya,1,31.5551566,34.51118,palestinian
11/07/2014,Bureij,2,31.4387841,34.40239,palestinian
11/07/2014,Deir al Balah,5,31.4171313,34.350931,palestinian
11/07/2014,Gaza,6,31.5225605,34.453593,palestinian
11/07/2014,Jabalia,5,31.5293955,34.479741,palestinian
11/07/2014,Rafah,8,31.2943959,34.2457565,palestinian
12/07/2014,al-Saftawi,1,31.536558,34.478796,palestinian
12/07/2014,At Tuffah,4,31.5205791,34.47942,palestinian
12/07/2014,Eastern Gaza City,3,31.5103989,34.4994601,palestinian
12/07/2014,Gaza,3,31.5225605,34.453593,palestinian
12/07/2014,Jabalia,9,31.5293955,34.479741,palestinian
12/07/2014,Khan Yunis,18,31.3499693,34.299682,palestinian
12/07/2014,Nusseirat,1,31.4499593,34.392909,palestinian
12/07/2014,Rafah,4,31.2943959,34.2457565,palestinian
12/07/2014,Sheikh Radwan – Gaza City,6,31.5362282,34.466375,palestinian
12/07/2014,Western Gaza City,3,31.5255165,34.4414812,palestinian
13/07/2014,Al Maghazi,1,31.4218051,34.385416,palestinian
13/07/2014,Beit Hanoun,1,31.538481,34.53677,palestinian
13/07/2014,Deir al Balah,2,31.4171313,34.350931,palestinian
13/07/2014,Gaza,3,31.5225605,34.453593,palestinian
13/07/2014,Jabalia,1,31.5293955,34.479741,palestinian
13/07/2014,Jibaliya (Refugee Camp),1,31.5366627,34.4904731,palestinian
13/07/2014,Khan Yunis,5,31.3499693,34.299682,palestinian
13/07/2014,Rafah,2,31.2943959,34.2457565,palestinian
14/07/2014,Deir al Balah,1,31.4171313,34.350931,palestinian
14/07/2014,Gaza,1,31.5225605,34.453593,palestinian
14/07/2014,Khan Yunis,8,31.3499693,34.299682,palestinian
14/07/2014,Rafah,5,31.2943959,34.2457565,palestinian
14/07/2014,#N/A,1,#N/A,#N/A,palestinian
15/07/2014,Gaza,1,31.5225605,34.453593,palestinian
15/07/2014,Juhor ad Dik,1,31.4549828,34.4408001,palestinian
15/07/2014,Khan Yunis,2,31.3499693,34.299682,palestinian
15/07/2014,Rafah,3,31.2943959,34.2457565,palestinian
16/07/2014,Ash Sheikh 'Ijleen,2,31.5051339,34.4238879,palestinian
16/07/2014,Gaza,1,31.5225605,34.453593,palestinian
16/07/2014,Gaza beach,4,31.5287509,34.4377235,palestinian
16/07/2014,Jabalia,1,31.5293955,34.479741,palestinian
16/07/2014,Khan Yunis,11,31.3499693,34.299682,palestinian
16/07/2014,Rafah,5,31.2943959,34.2457565,palestinian
17/07/2014,Beit Hanoun,1,31.538481,34.53677,palestinian
17/07/2014,Beit Lahiya,1,31.5551566,34.51118,palestinian
17/07/2014,Deir al Balah,1,31.4171313,34.350931,palestinian
17/07/2014,Gaza,8,31.5225605,34.453593,palestinian
